Store,Date,Customers,PR,X,J,Recalc_Units,Recalc_Sales,Recalc_Profit,CSV_Units,CSV_Sales,CSV_Profit,Match
Baltimore,2014-06-15,97,0.0755568072951651,0,0,0,0,0,0,0,0,True
Baltimore,2014-06-16,61,0.0763058151391144,0,0,0,0,0,0,0,0,True
Baltimore,2014-06-17,65,0.0945697670177471,0,1,96,93,33,96,93,33,True
Baltimore,2014-06-18,71,0.0095274626382483,3,3,627,664,244,627,664,244,True
Baltimore,2014-06-19,65,0.0106503191586112,3,1,447,473,173,447,473,173,True
Baltimore,2014-06-20,89,0.100918588227946,1,1,222,213,73,222,213,73,True
Baltimore,2014-06-21,125,0.0270073026976055,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-15,131,0.037069969714137,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-16,69,0.0237670925439951,6,0,756,790,310,756,790,310,True
Lancaster,2014-06-17,84,0.034039709065402,5,1,726,750,290,726,750,290,True
Lancaster,2014-06-18,81,0.0,4,4,836,894,334,836,894,334,True
Lancaster,2014-06-19,90,0.0373600033228192,5,5,1110,1143,443,1110,1143,443,True
Lancaster,2014-06-20,130,0.0264843976550723,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-21,144,0.1076056166600653,0,0,0,0,0,0,0,0,True
Philadelphia,2014-06-15,223,0.192995050756678,0,0,0,0,0,0,0,0,True
Philadelphia,2014-06-16,149,0.1440095890867904,1,0,133,122,42,133,122,42,True
Philadelphia,2014-06-17,157,0.0727650445098638,2,0,252,250,90,252,250,90,True
Philadelphia,2014-06-18,165,0.0723048611211829,2,3,558,554,214,558,554,214,True
Philadelphia,2014-06-19,175,0.0592845179204972,1,4,527,531,211,527,531,211,True
Philadelphia,2014-06-20,232,0.0535620822483453,0,4,408,413,173,408,413,173,True
Philadelphia,2014-06-21,314,0.0678035613138575,0,1,102,102,32,102,102,32,True
Richmond,2014-06-15,64,0.0,0,1,102,109,39,102,109,39,True
Richmond,2014-06-16,39,0.0,2,4,660,707,307,660,707,307,True
Richmond,2014-06-17,41,0.0319454820153875,0,2,204,211,91,204,211,91,True
Richmond,2014-06-18,43,0.0388190720352357,3,3,705,725,305,705,725,305,True
Richmond,2014-06-19,46,0.0,4,3,810,866,366,810,866,366,True
Richmond,2014-06-20,55,0.0,3,3,684,731,311,684,731,311,True
Richmond,2014-06-21,81,0.0807198543490824,0,0,0,0,0,0,0,0,True
