Split,Horizon,Method,LagSet,y_true,y_pred,Store
2,7,RandomForest,lag14,71.0,92.49,Baltimore
2,1,XGBoost,lag14,63.0,67.94316101074219,Baltimore
2,2,XGBoost,lag14,80.0,89.28887939453125,Baltimore
2,3,XGBoost,lag14,128.0,144.06971740722656,Baltimore
2,4,XGBoost,lag14,95.0,151.9988250732422,Baltimore
2,5,XGBoost,lag14,61.0,32.47740173339844,Baltimore
2,6,XGBoost,lag14,73.0,170.7523193359375,Baltimore
2,7,XGBoost,lag14,71.0,64.36341857910156,Baltimore
3,1,SeasonalNaive7,-,80.0,106.0,Baltimore
3,2,SeasonalNaive7,-,128.0,574.0,Baltimore
3,3,SeasonalNaive7,-,95.0,467.0,Baltimore
3,4,SeasonalNaive7,-,61.0,441.0,Baltimore
3,5,SeasonalNaive7,-,73.0,57.0,Baltimore
3,6,SeasonalNaive7,-,71.0,75.0,Baltimore
3,7,SeasonalNaive7,-,69.0,63.0,Baltimore
3,1,ETS_HoltWinters,-,80.0,118.4947566761602,Baltimore
3,2,ETS_HoltWinters,-,128.0,211.99308886851628,Baltimore
3,3,ETS_HoltWinters,-,95.0,150.6178969788171,Baltimore
3,4,ETS_HoltWinters,-,61.0,102.40529265261496,Baltimore
3,5,ETS_HoltWinters,-,73.0,60.67878141348148,Baltimore
3,6,ETS_HoltWinters,-,71.0,72.67203177151393,Baltimore
3,7,ETS_HoltWinters,-,69.0,79.94349259483104,Baltimore
3,1,ARIMA,-,80.0,89.76298256420637,Baltimore
3,2,ARIMA,-,128.0,103.91462093428434,Baltimore
3,3,ARIMA,-,95.0,111.3976758620004,Baltimore
3,4,ARIMA,-,61.0,115.35454004880812,Baltimore
3,5,ARIMA,-,73.0,117.44683715795418,Baltimore
3,6,ARIMA,-,71.0,118.55319486604444,Baltimore
3,7,ARIMA,-,69.0,119.13821091032425,Baltimore
3,1,RandomForest,lag7,80.0,73.62,Baltimore
3,2,RandomForest,lag7,128.0,135.05,Baltimore
3,3,RandomForest,lag7,95.0,120.22,Baltimore
3,4,RandomForest,lag7,61.0,91.2,Baltimore
3,5,RandomForest,lag7,73.0,61.59,Baltimore
3,6,RandomForest,lag7,71.0,74.32,Baltimore
3,7,RandomForest,lag7,69.0,83.8,Baltimore
3,1,XGBoost,lag7,80.0,66.92756652832031,Baltimore
3,2,XGBoost,lag7,128.0,116.17172241210938,Baltimore
3,3,XGBoost,lag7,95.0,100.120849609375,Baltimore
3,4,XGBoost,lag7,61.0,60.66809844970703,Baltimore
3,5,XGBoost,lag7,73.0,55.24680709838867,Baltimore
3,6,XGBoost,lag7,71.0,64.2940444946289,Baltimore
3,7,XGBoost,lag7,69.0,125.05060577392578,Baltimore
