Store,Method,LagSet,Horizon,Splits,MAE,RMSE,NMAE,R2,Improvement_vs_SeasonalNaive7_pct
Philadelphia,XGBoost,lag14,7,12,29.424,29.424,0.163,-0.1025,-146.97
Philadelphia,XGBoost,lag7,7,12,29.72,29.72,0.17,-0.4761,-157.576
Philadelphia,ARIMA,-,7,12,78.897,78.897,0.464,-1.3051,-603.03
Philadelphia,RandomForest,lag14,7,12,93.96,93.96,0.534,-13.452,-709.091
Richmond,XGBoost,lag7,1,12,5.895,5.895,0.108,-0.7897,32.075
Richmond,XGBoost,lag14,1,12,4.86,4.86,0.109,-0.6089,31.447
Richmond,RandomForest,lag14,1,12,6.67,6.67,0.123,0.0861,22.642
Richmond,RandomForest,lag7,1,12,6.48,6.48,0.139,0.1315,12.579
Richmond,SeasonalNaive7,-,1,12,8.5,8.5,0.159,-95.4499,0.0
Richmond,ARIMA,-,1,12,15.215,15.215,0.218,-0.6161,-37.107
Richmond,ETS_HoltWinters,-,1,12,19.733,19.733,0.366,-3.7268,-130.189
Richmond,SeasonalNaive7,-,2,12,8.5,8.5,0.159,-87.9791,0.0
Richmond,XGBoost,lag7,2,12,10.579,10.579,0.227,-6.4829,-42.767
Richmond,RandomForest,lag14,2,12,11.62,11.62,0.23,-0.6286,-44.654
Richmond,XGBoost,lag14,2,12,9.355,9.355,0.232,-0.2312,-45.912
Richmond,RandomForest,lag7,2,12,14.13,14.13,0.245,-7.9809,-54.088
Richmond,ARIMA,-,2,12,20.992,20.992,0.439,-2.0301,-176.101
Richmond,ETS_HoltWinters,-,2,12,23.804,23.804,0.487,-6.0011,-206.289
Richmond,SeasonalNaive7,-,3,12,6.0,6.0,0.116,-88.9144,0.0
Richmond,XGBoost,lag7,3,12,7.389,7.389,0.163,-6.0402,-40.517
Richmond,XGBoost,lag14,3,12,10.194,10.194,0.19,-0.469,-63.793
Richmond,RandomForest,lag14,3,12,9.31,9.31,0.209,-0.7571,-80.172
Richmond,RandomForest,lag7,3,12,12.735,12.735,0.281,-3.3392,-142.241
Richmond,ARIMA,-,3,12,26.629,26.629,0.564,-2.5675,-386.207
Richmond,ETS_HoltWinters,-,3,12,30.817,30.817,0.564,-8.9007,-386.207
Richmond,SeasonalNaive7,-,4,12,5.0,5.0,0.083,-86.551,0.0
Richmond,RandomForest,lag7,4,12,7.245,7.245,0.156,-0.5838,-87.952
Richmond,RandomForest,lag14,4,12,8.395,8.395,0.186,0.2342,-124.096
Richmond,XGBoost,lag7,4,12,10.866,10.866,0.203,-7.0218,-144.578
Richmond,XGBoost,lag14,4,12,13.446,13.446,0.28,-0.7675,-237.349
Richmond,ETS_HoltWinters,-,4,12,26.12,26.12,0.59,-9.4701,-610.843
Richmond,ARIMA,-,4,12,31.41,31.41,0.669,-3.0093,-706.024
Richmond,SeasonalNaive7,-,5,12,3.5,3.5,0.075,-81.1916,0.0
Richmond,XGBoost,lag7,5,12,5.845,5.845,0.123,-3.377,-64.0
Richmond,RandomForest,lag7,5,12,6.65,6.65,0.157,-1.7697,-109.333
Richmond,RandomForest,lag14,5,12,9.565,9.565,0.2,-0.0404,-166.667
Richmond,XGBoost,lag14,5,12,9.94,9.94,0.222,-0.7059,-196.0
Richmond,ETS_HoltWinters,-,5,12,23.235,23.235,0.377,-10.3396,-402.667
Richmond,ARIMA,-,5,12,32.287,32.287,0.702,-6.7088,-836.0
Richmond,SeasonalNaive7,-,6,12,3.5,3.5,0.075,-43.5013,0.0
Richmond,RandomForest,lag7,6,12,7.265,7.265,0.131,0.33,-74.667
Richmond,RandomForest,lag14,6,12,8.75,8.75,0.192,-0.3741,-156.0
Richmond,ETS_HoltWinters,-,6,12,10.394,10.394,0.216,-6.9121,-188.0
