Split,Horizon,Method,LagSet,y_true,y_pred,Store
2,6,XGBoost_MV,mv_lag7,73.0,51.64025115966797,Baltimore
2,7,XGBoost_MV,mv_lag7,71.0,64.35186767578125,Baltimore
2,1,LinearReg_MV,mv_lag7,63.0,72.04876379795067,Baltimore
2,2,LinearReg_MV,mv_lag7,80.0,87.28562415028097,Baltimore
2,3,LinearReg_MV,mv_lag7,128.0,138.27880440207684,Baltimore
2,4,LinearReg_MV,mv_lag7,95.0,118.93392826474154,Baltimore
2,5,LinearReg_MV,mv_lag7,61.0,133.88952872297602,Baltimore
2,6,LinearReg_MV,mv_lag7,73.0,61.79984041189279,Baltimore
2,7,LinearReg_MV,mv_lag7,71.0,90.58316941932331,Baltimore
2,1,RandomForest_MV,mv_lag14,63.0,74.83,Baltimore
2,2,RandomForest_MV,mv_lag14,80.0,93.41,Baltimore
2,3,RandomForest_MV,mv_lag14,128.0,139.31,Baltimore
2,4,RandomForest_MV,mv_lag14,95.0,109.34,Baltimore
2,5,RandomForest_MV,mv_lag14,61.0,92.99,Baltimore
2,6,RandomForest_MV,mv_lag14,73.0,61.33,Baltimore
2,7,RandomForest_MV,mv_lag14,71.0,71.34,Baltimore
2,1,XGBoost_MV,mv_lag14,63.0,71.21575164794922,Baltimore
2,2,XGBoost_MV,mv_lag14,80.0,86.77804565429688,Baltimore
2,3,XGBoost_MV,mv_lag14,128.0,140.1781463623047,Baltimore
2,4,XGBoost_MV,mv_lag14,95.0,96.1428451538086,Baltimore
2,5,XGBoost_MV,mv_lag14,61.0,70.29267883300781,Baltimore
2,6,XGBoost_MV,mv_lag14,73.0,62.9837532043457,Baltimore
2,7,XGBoost_MV,mv_lag14,71.0,64.42411804199219,Baltimore
2,1,LinearReg_MV,mv_lag14,63.0,68.19921807129195,Baltimore
2,2,LinearReg_MV,mv_lag14,80.0,83.17990167931177,Baltimore
2,3,LinearReg_MV,mv_lag14,128.0,134.2901867412702,Baltimore
2,4,LinearReg_MV,mv_lag14,95.0,117.18414292433545,Baltimore
2,5,LinearReg_MV,mv_lag14,61.0,126.15679912231985,Baltimore
2,6,LinearReg_MV,mv_lag14,73.0,59.51948001927201,Baltimore
2,7,LinearReg_MV,mv_lag14,71.0,91.12960929097703,Baltimore
3,1,ARIMAX,-,80.0,106.0,Baltimore
3,2,ARIMAX,-,128.0,574.0,Baltimore
3,3,ARIMAX,-,95.0,467.0,Baltimore
3,4,ARIMAX,-,61.0,441.0,Baltimore
3,5,ARIMAX,-,73.0,57.0,Baltimore
3,6,ARIMAX,-,71.0,75.0,Baltimore
3,7,ARIMAX,-,69.0,63.0,Baltimore
3,1,VAR,-,80.0,205.52470242778355,Baltimore
3,2,VAR,-,128.0,182.70502452875272,Baltimore
3,3,VAR,-,95.0,210.0886968832896,Baltimore
3,4,VAR,-,61.0,129.04656587415283,Baltimore
3,5,VAR,-,73.0,114.50720426432187,Baltimore
3,6,VAR,-,71.0,73.47747070339796,Baltimore
3,7,VAR,-,69.0,93.03977902400163,Baltimore
3,1,RandomForest_MV,mv_lag7,80.0,74.19,Baltimore
3,2,RandomForest_MV,mv_lag7,128.0,139.41,Baltimore
3,3,RandomForest_MV,mv_lag7,95.0,101.16,Baltimore
3,4,RandomForest_MV,mv_lag7,61.0,116.95,Baltimore
3,5,RandomForest_MV,mv_lag7,73.0,57.66,Baltimore
3,6,RandomForest_MV,mv_lag7,71.0,64.79,Baltimore
3,7,RandomForest_MV,mv_lag7,69.0,64.39,Baltimore
3,1,XGBoost_MV,mv_lag7,80.0,75.65388488769531,Baltimore
3,2,XGBoost_MV,mv_lag7,128.0,134.3574676513672,Baltimore
3,3,XGBoost_MV,mv_lag7,95.0,114.82329559326172,Baltimore
3,4,XGBoost_MV,mv_lag7,61.0,120.95137786865234,Baltimore
3,5,XGBoost_MV,mv_lag7,73.0,53.49665451049805,Baltimore
3,6,XGBoost_MV,mv_lag7,71.0,61.86685562133789,Baltimore
3,7,XGBoost_MV,mv_lag7,69.0,71.79069519042969,Baltimore
3,1,LinearReg_MV,mv_lag7,80.0,89.89738661044159,Baltimore
3,2,LinearReg_MV,mv_lag7,128.0,139.47686421144428,Baltimore
3,3,LinearReg_MV,mv_lag7,95.0,119.64435689394492,Baltimore
3,4,LinearReg_MV,mv_lag7,61.0,133.32591376463986,Baltimore
3,5,LinearReg_MV,mv_lag7,73.0,61.267518526735216,Baltimore
3,6,LinearReg_MV,mv_lag7,71.0,90.22960902063288,Baltimore
3,7,LinearReg_MV,mv_lag7,69.0,91.92048812113102,Baltimore
3,1,RandomForest_MV,mv_lag14,80.0,82.1,Baltimore
3,2,RandomForest_MV,mv_lag14,128.0,139.78,Baltimore
3,3,RandomForest_MV,mv_lag14,95.0,101.4,Baltimore
3,4,RandomForest_MV,mv_lag14,61.0,91.78,Baltimore
3,5,RandomForest_MV,mv_lag14,73.0,59.91,Baltimore
3,6,RandomForest_MV,mv_lag14,71.0,66.85,Baltimore
3,7,RandomForest_MV,mv_lag14,69.0,67.47,Baltimore
3,1,XGBoost_MV,mv_lag14,80.0,82.1686019897461,Baltimore
3,2,XGBoost_MV,mv_lag14,128.0,138.69073486328125,Baltimore
3,3,XGBoost_MV,mv_lag14,95.0,104.6723403930664,Baltimore
3,4,XGBoost_MV,mv_lag14,61.0,64.45561981201172,Baltimore
3,5,XGBoost_MV,mv_lag14,73.0,55.5493278503418,Baltimore
3,6,XGBoost_MV,mv_lag14,71.0,69.712890625,Baltimore
3,7,XGBoost_MV,mv_lag14,69.0,59.93769454956055,Baltimore
3,1,LinearReg_MV,mv_lag14,80.0,85.28066592545892,Baltimore
3,2,LinearReg_MV,mv_lag14,128.0,135.57802072208747,Baltimore
3,3,LinearReg_MV,mv_lag14,95.0,118.43876427752625,Baltimore
3,4,LinearReg_MV,mv_lag14,61.0,126.19354098633747,Baltimore
3,5,LinearReg_MV,mv_lag14,73.0,59.208532032472945,Baltimore
3,6,LinearReg_MV,mv_lag14,71.0,90.5732156516165,Baltimore
3,7,LinearReg_MV,mv_lag14,69.0,90.37129704884575,Baltimore
4,1,ARIMAX,-,128.0,574.0,Baltimore
4,2,ARIMAX,-,95.0,467.0,Baltimore
4,3,ARIMAX,-,61.0,441.0,Baltimore
