Store,Date,Customers,PR,X,J,Recalc_Units,Recalc_Sales,Recalc_Profit,CSV_Units,CSV_Sales,CSV_Profit,Match
Baltimore,2014-06-15,97,0.01,4,11,1466,1553,403,1466,1553,403,True
Baltimore,2014-06-16,61,0.02,7,1,923,967,347,923,967,347,True
Baltimore,2014-06-17,65,0.0,9,0,1071,1146,426,1071,1146,426,True
Baltimore,2014-06-18,71,0.0,10,1,1204,1288,428,1204,1288,428,True
Baltimore,2014-06-19,65,0.1,3,7,1050,1011,351,1050,1011,351,True
Baltimore,2014-06-20,89,0.01,10,3,1460,1547,567,1460,1547,567,True
Baltimore,2014-06-21,125,0.01,13,5,1997,2116,531,1997,2116,531,True
Lancaster,2014-06-15,131,0.03,16,3,2286,2372,642,2286,2372,642,True
Lancaster,2014-06-16,69,0.03,4,7,1119,1161,421,1119,1161,421,True
Lancaster,2014-06-17,84,0.0,7,6,1358,1453,533,1358,1453,533,True
Lancaster,2014-06-18,81,0.0,2,10,1138,1218,458,1138,1218,458,True
Lancaster,2014-06-19,90,0.06,11,1,1482,1491,551,1482,1491,551,True
Lancaster,2014-06-20,130,0.09,19,1,2470,2405,825,2470,2405,825,True
Lancaster,2014-06-21,144,0.05,14,7,2436,2476,656,2436,2476,656,True
Philadelphia,2014-06-15,223,0.06,4,33,3791,3813,1123,3791,3813,1123,True
Philadelphia,2014-06-16,149,0.07,8,15,2482,2470,930,2482,2470,930,True
Philadelphia,2014-06-17,157,0.06,14,10,2669,2685,965,2669,2685,965,True
Philadelphia,2014-06-18,165,0.14,18,8,3096,2849,929,3096,2849,929,True
Philadelphia,2014-06-19,175,0.0,21,5,2947,3153,1173,2947,3153,1173,True
Philadelphia,2014-06-20,232,0.08,4,34,3972,3910,1550,3972,3910,1550,True
Philadelphia,2014-06-21,314,0.06,22,23,4964,4993,1293,4964,4993,1293,True
Richmond,2014-06-15,64,0.05,5,5,1158,1177,352,1158,1177,352,True
Richmond,2014-06-16,39,0.05,4,2,719,731,291,719,731,291,True
Richmond,2014-06-17,41,0.09,1,6,745,726,286,745,726,286,True
Richmond,2014-06-18,43,0.14,2,5,831,765,305,831,765,305,True
Richmond,2014-06-19,46,0.22,4,3,976,814,314,976,814,314,True
Richmond,2014-06-20,55,0.01,6,2,960,1017,417,960,1017,417,True
Richmond,2014-06-21,81,0.01,2,11,1374,1456,496,1374,1456,496,True
