Store,Date,Customers,PR,X,J,Recalc_Units,Recalc_Sales,Recalc_Profit,CSV_Units,CSV_Sales,CSV_Profit,Match
Baltimore,2014-06-15,97,0.0,0,0,0,0,0,0,0,0,True
Baltimore,2014-06-16,61,0.0151189582131442,3,3,627,661,241,627,661,241,True
Baltimore,2014-06-17,65,1.1137092185500158e-05,4,1,560,599,219,560,599,219,True
Baltimore,2014-06-18,71,0.0964766197836055,3,1,474,458,158,474,458,158,True
Baltimore,2014-06-19,65,0.0764482288303545,3,2,558,552,192,558,552,192,True
Baltimore,2014-06-20,89,0.0095567090468394,3,2,537,569,209,537,569,209,True
Baltimore,2014-06-21,125,0.0872122738155952,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-15,131,0.1303503279103461,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-16,69,0.0382324079586463,2,3,540,555,215,540,555,215,True
Lancaster,2014-06-17,84,0.0150072701477728,3,2,558,588,228,558,588,228,True
Lancaster,2014-06-18,81,0.021455956397082,3,1,468,490,190,468,490,190,True
Lancaster,2014-06-19,90,0.0224868111354822,1,0,126,132,52,126,132,52,True
Lancaster,2014-06-20,130,0.0276881898622013,4,1,594,618,238,594,618,238,True
Lancaster,2014-06-21,144,0.0633363629758492,0,0,0,0,0,0,0,0,True
Philadelphia,2014-06-15,223,0.085156179607797,0,0,0,0,0,0,0,0,True
Philadelphia,2014-06-16,149,0.0553649109220133,0,3,306,309,129,306,309,129,True
Philadelphia,2014-06-17,157,0.0076999122380691,0,1,96,102,42,96,102,42,True
Philadelphia,2014-06-18,165,0.0,1,5,599,641,261,599,641,261,True
Philadelphia,2014-06-19,175,0.0620018581058214,0,2,204,205,85,204,205,85,True
Philadelphia,2014-06-20,232,0.0523042685762175,0,5,510,517,217,510,517,217,True
Philadelphia,2014-06-21,314,0.0378043335351048,0,0,0,0,0,0,0,0,True
Richmond,2014-06-15,64,0.0,0,1,102,109,39,102,109,39,True
Richmond,2014-06-16,39,0.0373694962479412,3,2,603,621,261,603,621,261,True
Richmond,2014-06-17,41,0.0,2,4,660,707,307,660,707,307,True
Richmond,2014-06-18,43,0.0,3,3,684,731,311,684,731,311,True
Richmond,2014-06-19,46,0.0055367512259544,1,4,534,568,248,534,568,248,True
Richmond,2014-06-20,55,0.0,2,4,660,707,307,660,707,307,True
Richmond,2014-06-21,81,0.2047729500684786,0,0,0,0,0,0,0,0,True
