Store,Date,Customers,PR,X,J,Recalc_Units,Recalc_Sales,Recalc_Profit,CSV_Units,CSV_Sales,CSV_Profit,Match
Baltimore,2014-06-15,97,0.0644104226404918,0,0,0,0,0,0,0,0,True
Baltimore,2014-06-16,61,0.0713515178204838,6,0,756,751,271,756,751,271,True
Baltimore,2014-06-17,65,0.0710636841547075,2,0,252,250,90,252,250,90,True
Baltimore,2014-06-18,71,0.0,6,0,714,764,284,714,764,284,True
Baltimore,2014-06-19,65,0.1035832328114488,0,0,0,0,0,0,0,0,True
Baltimore,2014-06-20,89,0.2054358957297371,0,0,0,0,0,0,0,0,True
Baltimore,2014-06-21,125,0.0595545176896395,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-15,131,0.043104923730333,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-16,69,0.0874853146569614,3,0,399,390,150,399,390,150,True
Lancaster,2014-06-17,84,0.0878996792686066,6,0,798,779,299,798,779,299,True
Lancaster,2014-06-18,81,0.0181611453888557,6,0,756,794,314,756,794,314,True
Lancaster,2014-06-19,90,0.0169254592514602,6,0,756,795,315,756,795,315,True
Lancaster,2014-06-20,130,0.192819697673032,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-21,144,0.1551166806915279,0,0,0,0,0,0,0,0,True
Philadelphia,2014-06-15,223,0.0302864612055272,0,0,0,0,0,0,0,0,True
Philadelphia,2014-06-16,149,0.0,2,0,238,255,95,238,255,95,True
Philadelphia,2014-06-17,157,0.0715178011114082,5,1,732,727,267,732,727,267,True
Philadelphia,2014-06-18,165,0.0771662511503389,3,0,378,373,133,378,373,133,True
Philadelphia,2014-06-19,175,0.1962317274929355,0,0,0,0,0,0,0,0,True
Philadelphia,2014-06-20,232,0.0,5,0,595,637,237,595,637,237,True
Philadelphia,2014-06-21,314,0.1368395821280526,0,0,0,0,0,0,0,0,True
Richmond,2014-06-15,64,0.0613836226199272,0,0,0,0,0,0,0,0,True
Richmond,2014-06-16,39,0.0373345211408632,5,0,665,685,285,665,685,285,True
Richmond,2014-06-17,41,0.0,5,1,732,783,323,732,783,323,True
Richmond,2014-06-18,43,0.160072043533003,5,0,735,661,261,735,661,261,True
Richmond,2014-06-19,46,0.0374529947222301,5,0,665,685,285,665,685,285,True
Richmond,2014-06-20,55,0.0367072843274726,5,1,767,790,330,767,790,330,True
Richmond,2014-06-21,81,0.0231289432131411,0,0,0,0,0,0,0,0,True
